date,fee,base,surge,surge_share
2025-03-01,6.023,4.148,1.874,1.0
2025-03-02,5.523,4.155,1.369,1.0
2025-03-03,4.739,4.143,0.597,0.485
2025-03-04,5.111,4.145,0.966,0.487
2025-03-05,4.858,4.141,0.717,0.484
2025-03-06,4.747,4.141,0.605,0.489
2025-03-07,5.609,4.136,1.474,1.0
2025-03-08,6.891,4.151,2.74,1.0
2025-03-09,6.153,4.146,2.006,1.0
2025-03-10,4.511,3.92,0.591,0.489
2025-03-11,5.004,4.148,0.857,1.0
2025-03-12,4.755,4.157,0.598,0.485
2025-03-13,4.502,3.913,0.589,0.486
2025-03-14,5.235,4.161,1.074,0.481
2025-03-15,4.615,4.132,0.484,0.484
2025-03-16,4.648,4.131,0.517,0.517
2025-03-17,4.153,4.153,0.0,0.0
2025-03-18,4.148,4.148,0.0,0.0
2025-03-19,4.625,4.137,0.488,0.488
2025-03-20,4.764,4.143,0.621,1.0
2025-03-21,4.135,4.135,0.0,0.0
2025-03-22,4.153,4.153,0.0,0.0
2025-03-23,4.16,4.16,0.0,0.0
2025-03-24,4.785,4.149,0.636,0.509
2025-03-25,4.527,4.143,0.384,0.512
2025-03-26,4.154,4.154,0.0,0.0
2025-03-27,4.978,4.132,0.846,0.483
2025-03-28,4.642,4.154,0.488,0.488
2025-03-29,4.616,4.131,0.485,0.485
2025-03-30,4.782,4.166,0.616,1.0
2025-03-31,4.388,4.133,0.255,0.509
